id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
28494961,Beautiful Point Loma Condominium,22012741,George,,Midtown District,32.71983,-117.23004,Entire home/apt,196,31,0,,,2,286,0,
28873744,San Diego Hotel Prices...Why?,109539817,Renate,,Clairemont Mesa,32.80895,-117.16855,Private room,65,2,26,2021-08-22,0.58,1,287,7,
27834187,Great Apartment for Extended Stays,1028043,Jesse,,Mission Bay,32.78982,-117.2374,Entire home/apt,195,2,9,2021-12-10,0.20,40,276,2,
28881655,"Quaint Craftsman Guesthouse#2- Walkable, Parking",29405742,Christina,,North Hills,32.74227,-117.12526,Entire home/apt,184,2,359,2022-06-07,8.13,2,110,100,
28496129,Large 2/2 Modern Home Yard-Patio-Fireplace-WD-WiFi,214354441,Jerome,,City Heights East,32.75315,-117.0988,Entire home/apt,159,30,19,2022-05-14,0.43,2,243,3,
27851593,Room 207 -  Honey Moon Suite,147702206,Stephen,,Park West,32.72789,-117.16444,Private room,171,30,0,,,13,131,0,
28520797,North Park Guesthouse in the Heart of San Diego,16105067,Ellen,,North Hills,32.74178,-117.12892,Entire home/apt,83,2,108,2022-02-28,2.38,1,45,32,
27852537,Spacious 1master BR with a wonderful view of park,210352325,Hui,,Rancho Penasquitos,32.94507,-117.1162,Private room,75,5,12,2021-10-04,0.26,2,0,1,
28523080,Cozy Private Bedroom in Sherman Heights Home,177420687,Liliana,,Grant Hill,32.71222,-117.14558,Private room,78,3,96,2022-05-28,2.14,6,102,31,
28529287,Bungalow - 10 Blocks from Petco Park,2610116,Katelin,,Grant Hill,32.70961,-117.14487,Entire home/apt,127,1,19,2020-02-16,0.42,1,49,0,
28895960,Anna’s modern & private San Diego guest studio!,11003641,Anna,,Serra Mesa,32.7979,-117.14351,Entire home/apt,97,2,198,2022-06-05,4.39,1,112,51,
28914332,Little Italy 2 Bedroom 2 Bath,39826563,Veronica,,Little Italy,32.72478,-117.16917,Entire home/apt,160,31,4,2021-06-25,0.10,3,192,1,
27857833,Room and Attached Bath in Lovely Mid Century Home,132103907,Caree,,Southwest,32.62264,-117.04574,Private room,55,2,115,2022-05-29,2.64,2,62,24,
28915960,Stunning Views From The Heart of San Diego,55303269,Maribel,,Old Town,32.74799,-117.18591,Entire home/apt,835,3,93,2022-06-02,2.13,1,216,29,
28541190,North Park Studio - Close to all,191716324,Chris,,City Heights West,32.75022,-117.12121,Entire home/apt,165,28,7,2022-06-09,0.15,4,336,3,
27883324,•••The Fifth Season•••,173729694,Chad & Alexis,,Otay Ranch,32.61272,-116.9637,Private room,50,30,94,2022-03-27,2.03,3,155,5,
28541727,Great Vibes - Cute North Park Studio,191716324,Chris,,City Heights West,32.75008,-117.12054,Entire home/apt,289,14,3,2018-11-04,0.07,4,337,0,
28938124,Modern & Hip Downtown Condo Steps to Petco Park,218129412,Erik,,East Village,32.71006,-117.156,Entire home/apt,118,26,20,2022-04-30,0.55,1,232,9,
27902672,Guest House With City Views!,22012010,Edgar,,Pacific Beach,32.80712,-117.23759,Entire home/apt,130,3,61,2022-04-17,1.33,37,48,20,
28938416,"Quiet, private bedroom/bathroom",203105783,Jill,,Mira Mesa,32.93227,-117.15327,Private room,44,2,96,2022-06-11,2.13,1,56,43,
27906181,"Historic Casita in Bungalow Court,  Bikes incl.!",41572150,Susan,,West University Heights,32.76234,-117.14089,Entire home/apt,100,2,46,2022-06-06,1.00,1,139,13,
28938922,"Spacious, centrally located, elegant Craftsman",11524575,Ruth,,Park West,32.72864,-117.16537,Entire home/apt,250,6,8,2021-09-30,0.18,1,142,2,
28939031,"Private Boutique Luxury in an Upscale Area, Villa B",143400805,John,,Rancho Penasquitos,32.97656,-117.1412,Private room,119,2,50,2022-06-06,1.11,2,340,9,
28548091,Town House @ Felspar Street,87746884,Joan,,Pacific Beach,32.80428,-117.23018,Entire home/apt,229,3,96,2022-05-31,2.11,3,323,31,
28549319,San Diego Tiny House,215463771,Curtis&Veronica,,Alta Vista,32.69672,-117.07077,Private room,67,1,423,2022-06-13,9.30,2,336,102,
27931596,"Bella Cottage, 0.1mi to Beach, 5.5mi to Airport",207166190,Sandra,,Mission Bay,32.77564,-117.25124,Entire home/apt,235,2,193,2022-05-30,4.29,3,45,51,
28564580,Brand New Modern North Park View Apartment,101299891,Ryan,,North Hills,32.74686,-117.13912,Entire home/apt,147,5,84,2022-06-09,2.02,2,50,19,
28958492,Studio w/ a View,26928800,Dan,,City Heights East,32.74615,-117.08134,Entire home/apt,95,1,171,2022-06-12,3.82,2,50,37,
27931661,"Bay Cottage, 0.1mi to Beach, 5.5mi to Airport, AC",207166190,Sandra,,Mission Bay,32.77774,-117.25331,Entire home/apt,233,2,211,2022-05-30,4.69,3,17,66,
27956287,Bright Studio | Enjoy Your Moments @Gaslmap,210933477,Raphel,,East Village,32.72041,-117.15561,Entire home/apt,115,2,153,2022-06-06,3.31,4,74,65,
28960195,Urban Chic Guesthouse with Private Patio,8662570,Tylor,,North Hills,32.74304,-117.1244,Entire home/apt,167,1,348,2022-06-06,7.81,1,112,91,
